Mid La Union Campus:
Dr. Ma. Teresa Y. Acantilado – Chair, Ph.D. in Technological Education Management, CGS
Dr. Josephine V. Gimpaya – Chair, Ph.D. in Development Administration, CGS
Dr. Aloysius J. Aurelio – Chair, Ph.D. in Science Education, CGS
Dr. Remalyn Q. Casem – Chair, Ph.D. in Mathematics Education, CGS
Dr. Manolito F. dela Cruz – Chair, MA in Technology Education, CGS
Engr. Grace A. Llobrera-Diamse – Chair, Master in Management Engineering, CGS
Dr. Allan Hil B. Pajimola – Chair, Bachelor in Public Administration, COM
Dr. Nestor P. Soriano – Chair, BS Office Administration, COM
Prof. Geremy S. Cacanindin – Chair, BS Hospitality Management, COM
Prof. Daniel B. Gacayan – Chair, BS Business Administration, COM
Dr. Alfonso S. Lopez – Chair, BEEd, BPEd, and BECEd, CE
Dr. Vanessa P. Cayabyab – Chair, Bachelor in Secondary Education, CE
Dr. Peter Paul Q. Calderon – Chair, BTVTEd and BTLEd, CE
Engr. Ariel V. Cañedo – Chair, BS Electrical Engineering, COE
Engr. Melchor A. Meana – OIC, Chair, BS Mechanical Engineering, COE
Dr. Jake Tyrone I. Somera – Chair, BS Industrial Technology, COT
Dr. Juanito C. Corpuz – Chair, BS Electro-Mechanical Technology, COT
Prof. Imma Concepcion G. Estabillo – Chair, BS Food Technology, COT
Dr. Florentina A. Corpuz – Chair, BS Textile & Fashion Technology, COT
Dr. Mark Kristian C. Ledda – Chair, Master in Information Technology, CIT
Dr. Sheena I. Sapuay – Chair, BS Information Technology, CIT
Prof. Renz Arvin C. Dumaguin – Chair, BS Psychology, CAS
Prof. Dulce M. Rodriguez – Chair, BA Political Science, CAS
Dr. Gerald O. Dumo – Chair, BA English Language, CAS
Prof. Charity P. Madayag – Chair, Batsilyer ng Sining sa Filipino, CAS
Prof. Benedick Adrian C. Flores – Chair, General Education, CAS
Dr. Sharlane Gay Elaine V. Fabrigas – Principal, Laboratory Elementary School, CE
Dr. Primitiva M. Quevedo – Principal, Laboratory High School, CE
